id;mac_address;device_name;rssi;estimated_distance_m;tx_power;timestamp;session_id
559;2D:29:BB:28:0E:80;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
560;05:F2:4F:96:5E:30;;-46;0.00;-2147483648;1,77472E+12;session_1774715333436
561;3D:D3:73:17:40:44;;-37;0.00;-2147483648;1,77472E+12;session_1774715333436
562;F8:17:2D:59:E5:86;TY;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
563;5E:84:1E:47:98:AF;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
564;20:64:DE:ED:F1:A6;Comedor;-82;0.00;-2147483648;1,77472E+12;session_1774715333436
565;47:31:70:7A:DE:DC;;-99;1426394.08;24;1,77472E+12;session_1774715333436
566;62:A0:FA:DE:D2:B0;;-87;401217683.12;12;1,77472E+12;session_1774715333436
567;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-64;0.00;-2147483648;1,77472E+12;session_1774715333436
568;06:65:29:DA:65:E9;Bn4038713;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
569;53:0E:DC:F4:D6:AF;;-72;60466176.00;12;1,77472E+12;session_1774715333436
570;64:E7:D8:91:7B:17;;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
571;27:A4:43:1F:1F:02;;-46;0.00;-2147483648;1,77472E+12;session_1774715333436
572;29:37:CF:43:80:5F;;-83;0.00;-2147483648;1,77472E+12;session_1774715333436
573;F7:50:64:2E:EA:F4;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
574;7D:12:36:12:00:ED;;-98;Infinity;0;1,77472E+12;session_1774715333436
575;49:09:58:76:E1:88;;-98;1319618199.40;12;1,77472E+12;session_1774715333436
576;46:52:4C:D3:3A:A5;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
577;5E:17:B7:C1:2F:F0;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
578;4F:60:3D:5E:18:6F;;-98;76095835015.88;8;1,77472E+12;session_1774715333436
579;D4:BF:6F:65:0A:B3;;-79;0.00;-2147483648;1,77472E+12;session_1774715333436
580;0B:2A:F3:B1:33:9F;;-63;0.00;-2147483648;1,77472E+12;session_1774715333436
581;DB:45:E5:E7:E9:B3;;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
582;CB:37:30:33:44:78;Govee_H619C_4478;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
583;62:99:38:0B:E5:74;;-98;Infinity;0;1,77472E+12;session_1774715333436
584;68:FC:CA:BC:DA:11;[TV] TV Living;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
585;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
586;8C:EA:48:4C:02:79;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
587;5D:BE:05:8B:D8:23;;-98;141692925.24;15;1,77472E+12;session_1774715333436
588;52:9C:F1:9C:87:C7;;-98;3150169376.71;11;1,77472E+12;session_1774715333436
589;65:DA:77:11:6B:A0;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
590;E8:AA:CB:04:47:55;"43"" The Frame";-96;0.00;-2147483648;1,77472E+12;session_1774715333436
591;F4:3B:F3:5F:D0:AF;;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
592;C8:12:0B:43:4C:93;;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
593;D4:E0:03:E9:D4:55;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
594;D8:CF:70:5B:D9:2F;;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
595;06:65:29:DA:65:E9;Bn4038713;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
596;D4:BF:6F:65:0A:B3;;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
597;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-95;0.00;-2147483648;1,77472E+12;session_1774715333436
598;47:31:70:7A:DE:DC;;-99;1426394.08;24;1,77472E+12;session_1774715333436
599;20:64:DE:ED:F1:A6;Comedor;-83;0.00;-2147483648;1,77472E+12;session_1774715333436
600;62:A0:FA:DE:D2:B0;;-80;173415299.16;12;1,77472E+12;session_1774715333436
601;3D:D3:73:17:40:44;;-36;0.00;-2147483648;1,77472E+12;session_1774715333436
602;27:A4:43:1F:1F:02;;-43;0.00;-2147483648;1,77472E+12;session_1774715333436
603;F8:17:2D:59:E5:86;TY;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
604;29:37:CF:43:80:5F;;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
605;2D:29:BB:28:0E:80;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
606;68:FC:CA:BC:DA:11;[TV] TV Living;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
607;0B:2A:F3:B1:33:9F;;-65;0.00;-2147483648;1,77472E+12;session_1774715333436
608;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-61;0.00;-2147483648;1,77472E+12;session_1774715333436
609;FC:F1:36:35:2A:63;;-91;0.00;-2147483648;1,77472E+12;session_1774715333436
610;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
611;5E:84:1E:47:98:AF;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
612;53:0E:DC:F4:D6:AF;;-87;401217683.12;12;1,77472E+12;session_1774715333436
613;C8:12:0B:43:4C:93;;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
614;E8:AA:CB:04:47:55;"43"" The Frame";-95;0.00;-2147483648;1,77472E+12;session_1774715333436
615;DB:45:E5:E7:E9:B3;;-86;0.00;-2147483648;1,77472E+12;session_1774715333436
616;52:9C:F1:9C:87:C7;;-95;2308390090.57;11;1,77472E+12;session_1774715333436
617;05:F2:4F:96:5E:30;;-43;0.00;-2147483648;1,77472E+12;session_1774715333436
618;CB:37:30:33:44:78;Govee_H619C_4478;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
619;62:99:38:0B:E5:74;;-98;Infinity;0;1,77472E+12;session_1774715333436
620;55:80:6E:74:37:27;;-99;1460627541.79;12;1,77472E+12;session_1774715333436
621;A0:D0:5B:9D:8F:5A;[TV] Samsung Serif TV (55);-98;0.00;-2147483648;1,77472E+12;session_1774715333436
622;52:A3:08:D4:34:66;;-100;49603324.68;17;1,77472E+12;session_1774715333436
623;47:BB:2C:BF:10:92;;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
624;64:E7:D8:91:7B:17;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
625;55:6F:D8:26:D7:C2;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
626;27:FA:B1:F0:39:7E;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
627;BC:7E:8B:A7:51:6F;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
628;D4:E0:03:E9:D4:55;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
629;D8:CF:70:5B:D9:2F;;-80;0.00;-2147483648;1,77472E+12;session_1774715333436
630;7D:12:36:12:00:ED;;-99;Infinity;0;1,77472E+12;session_1774715333436
631;5C:E5:D2:AA:50:D6;;-98;Infinity;0;1,77472E+12;session_1774715333436
632;D2:ED:FA:15:7E:74;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
633;57:0B:34:09:93:46;;-99;Infinity;0;1,77472E+12;session_1774715333436
634;4F:60:3D:5E:18:6F;;-96;61917364224.00;8;1,77472E+12;session_1774715333436
635;ED:EE:48:ED:C5:7C;Vasco de Gam;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
636;F5:FD:5A:F1:8E:3B;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
637;68:FC:CA:BC:DA:11;[TV] TV Living;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
638;46:52:4C:D3:3A:A5;;-94;869893479.55;12;1,77472E+12;session_1774715333436
639;FC:F1:36:35:2A:63;;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
640;55:80:6E:74:37:27;;-95;966993583.69;12;1,77472E+12;session_1774715333436
641;64:E7:D8:91:7B:17;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
